"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Gestión ética de la población de palomas urbanas","major claim","andres.segura","2022-12-15 23:27:56"
"2","Para gestionar la población de palomas urbanas existen métodos éticos que no incurren en maltrato animal, como incurre la captura de estas aves y posterior sacrifico. Pienso anticonceptivo.","major claim","andres.segura","2022-12-15 23:27:56"
"3","Aplicación del pienso anticonceptivo, palomares ecológicos y otros métodos de disuasión y medidas por parte de urbanismo y parques.","major claim","andres.segura","2022-12-15 23:27:56"
"4","Desde malp reclamamos un cambio en la política de control de la población de palomas para una gestión ética y eficaz de su población ahora en Madrid","major claim","andres.segura","2022-12-15 23:27:56"
"5","También existen otros métodos complementarios como son la instalación de palomares ecológicos educativos y de control y medidas disuasorias o urbanísticas que ayudan a mantener una población de palomas estable y sana.","major claim","andres.segura","2022-12-15 23:27:56"
"6","En ella, en su disposición adicional se promueve la gestión de palomar urbanas a través de pienso anticonceptivo y huevos falsos palomares ecológicos ergo, si contamos con que la nueva ley trae una dotación económica, ahora no quedan escusas para que los ayuntamientos de la Comunidad de Madrid y menos el de Madrid Capital, sigan capturando y matando palomas.","major claim","andres.segura","2022-12-15 23:27:56"
"7","Al menos ya no habrá más captura urbana en la Comunidad de Madrid.","major claim","andres.segura","2022-12-15 23:27:56"
"8","El problema de las palomas se solucionaría de una manera muy sencilla y natural: depredadores naturales ej. : halcones peregrinos, de los que ya contamos con 7 nidos en Madrid capital y dejar de darlas de comer.","claim","andres.segura","2022-12-15 23:27:56"
"9","Sio no tienen depredadores la población degenera, ya que nos depredadores naturales eliminan los individuos enfermos;","claim","andres.segura","2022-12-15 23:27:56"
"10","así vemos palomas degeneradas y enfermas por doquier.","premise","andres.segura","2022-12-15 23:27:56"
"11","Está muy bien introducir depredadores naturales, que es un método de control poblacional complementario,","claim","andres.segura","2022-12-15 23:27:56"
"12","pero el caso no es dejar de alimentarlas y que mueran de hambre, sino al igual que la Gestión de las Colonias Felinas se puede hacer a través del CES bc hay que controlar su población controlando su cría, mediante pienso anticonceptivo y cerrando lugares de nidada.","premise","andres.segura","2022-12-15 23:27:56"
"13","La solución no pasa por que los animales mueran de hambre, eso no soluciona nada, sino que su número sea estable y estén sanas y críen lo justo para mantener la población que queremos en nuestras ciudades.","claim","andres.segura","2022-12-15 23:27:56"
"14","El hambre no es la solución, eso sólo mata pichones y enferma a todos.","premise","andres.segura","2022-12-15 23:27:56"
"15","Con depredadores naturales es imposible dado el gran número que hay, habría que optar por capturas controladas y piensos que eviten su reproducción.","claim","andres.segura","2022-12-15 23:27:56"
"16","Entiendo tu preocupación pero demostrada está la ineficacia de la captura de palomas, sólo sirve para rejuvenecer la población y nada más, tirar el dinero público y maltratar animales.","claim","andres.segura","2022-12-15 23:27:56"
"17","Pero existe una solución ética que pasa por la administración de pienso anticonceptivo y uso de huevos falsos palomares ecológicos cierre de los huecos de nidada fuera de la temporada de cría.","premise","andres.segura","2022-12-15 23:27:56"
"18","Mi preocupación con el pienso anticonceptivo es si realmente hay estudios fiables y que se hayan realizado con el suficiente tiempo como para estar seguros de que no provoca el mismo efecto en otras aves y/o animales que puedan ingerirlos y que incluso están en peligro de extinción.","claim","andres.segura","2022-12-15 23:27:56"
"19","Y también me gustaría saber si se ha avanzado algo en el cuidado de las enfermas,","premise","andres.segura","2022-12-15 23:27:56"
"20","pues si vosotros no tenéis disponibilidad, la única opción es el pagar a un veterinario particular, lo cual no tiene cabida en la economía de muchos particulares sensibles a los animales.","premise","andres.segura","2022-12-15 23:27:56"
"21","Hay estudios científicos probados sobre la eficacia del pienso, en Ïtalia y en otros países.","claim","andres.segura","2022-12-15 23:27:56"
"22","Así que su eficacia a día de hoy no se cuestiona.","premise","andres.segura","2022-12-15 23:27:56"
